ROI,Area,Mean_Intensity,Perimeter,Eccentricity,Circularity
65,448.0,0.9928422619047618,76.18376618407356,0.40357713357556085,0.9699804947423007
66,1245.0,0.9892744310575636,203.48023074035524,0.6796448988211189,0.37786335176752667
67,624.0,0.9935042735042736,128.91168824543144,0.8114986411231164,0.4718564127178405
68,126.0,0.9901058201058202,44.2842712474619,0.6681638479993904,0.807386353575812
69,85.0,0.9920000000000001,33.55634918610404,0.7807540782162015,0.9485918297408359
70,350.0,0.9926095238095238,72.18376618407356,0.6328915624700564,0.8441095876819299
71,286.0,0.9954079254079254,60.8700576850888,0.6194992956499623,0.9699927103895271
72,145.0,0.9886896551724139,45.45584412271571,0.7899675358285377,0.8818574984242679
73,239.0,0.9862482566248257,59.112698372208094,0.7923186048483378,0.8595006235222492
74,293.0,0.9964050056882822,64.52691193458118,0.767932986975237,0.8842920512681013
75,106.0,0.9845911949685535,42.04163056034261,0.8042270208011166,0.7536273067653159
76,740.0,0.9911261261261262,145.0538238691624,0.8805523611414737,0.4419602592639146
77,148.0,0.9877477477477475,46.62741699796952,0.7942987188700416,0.8554386414163334
78,199.0,0.9872026800670016,53.45584412271571,0.7577165921895329,0.8751299690988749
79,120.0,0.9857777777777778,42.62741699796952,0.8316666562286134,0.8298757520103457
80,1699.0,0.990786737296449,261.17871555019025,0.9645921449366062,0.31298799457277815
81,147.0,0.9905215419501134,42.62741699796952,0.3522985674755168,1.0165977962126738
82,391.0,0.9843989769820971,99.9827560572969,0.8600144458489704,0.4915145893944275
83,711.0,0.9912892639474918,122.71067811865476,0.8495268464376061,0.5933551997381741
84,322.0,0.989296066252588,81.84062043356595,0.929301466769804,0.6041265320573322
85,327.0,0.9922528032619776,65.11269837220809,0.5707775031760732,0.9692286195016085
86,81.0,0.9964609053497943,32.384776310850235,0.7787193486414792,0.9705391965307768
87,278.0,0.9836930455635491,83.25483399593904,0.8502963730500929,0.5040060405702199
88,239.0,0.9945327754532776,54.2842712474619,0.4658219357873888,1.0192007654282798
89,989.0,0.9954836535220761,141.63961030678928,0.9283300756753896,0.6194934361919676
90,133.0,0.9870676691729323,40.62741699796952,0.5811982437004334,1.0125653962093493
91,421.0,0.9936025336500396,75.84062043356595,0.49738825782237955,0.9197889873526861
92,746.0,0.984834673815907,130.12489168102786,0.72862676392794,0.5536405985416499
93,253.0,0.9960737812911726,58.2842712474619,0.6212467401015771,0.9358961136360316
94,207.0,0.9879227053140096,57.112698372208094,0.790506178256386,0.7974709109790279
95,277.0,0.9908543922984357,64.76955262170047,0.7687614054671719,0.8297511032068678
96,144.0,0.9938888888888889,46.2842712474619,0.7667996744648581,0.8447058384148394
